,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Target
641925,6/3/2008,12:09:00,1.322,0.058,239.17,5.4,0.0
495667,25/11/2007,22:31:00,0.294,0.064,244.26,1.2,0.0
1302460,8/6/2009,05:04:00,0.336,0.094,239.77,1.6,1.0
749968,20/5/2008,12:52:00,1.548,0.19,239.85,6.4,23.0
482440,16/11/2007,18:04:00,2.838,0.06,238.33,11.8,18.0
234172,28/5/2007,08:16:00,0.404,0.08,234.81,1.8,0.0
1157151,27/2/2009,07:15:00,1.688,0.112,237.6,7.0,0.0
775264,7/6/2008,02:28:00,0.644,0.22,241.23,2.8,0.0
410759,27/9/2007,23:23:00,0.558,0.106,243.6,2.2,0.0
676816,30/3/2008,17:40:00,0.66,0.0,240.55,2.8,0.0
1023352,26/11/2008,09:16:00,1.392,0.058,241.39,5.6,18.0
2059791,16/11/2010,03:15:00,0.234,0.0,245.4,1.0,0.0
1215841,9/4/2009,01:25:00,0.508,0.0,242.63,2.0,0.0
1118415,31/1/2009,09:39:00,4.442,0.0,240.84,18.6,56.0
1508717,29/10/2009,10:41:00,1.732,0.156,236.31,7.2,17.0
1749509,14/4/2010,15:53:00,0.422,0.236,243.62,2.0,2.0
525084,16/12/2007,08:48:00,1.38,0.0,243.52,5.6,0.0
53349,22/1/2007,18:33:00,1.18,0.118,237.01,5.0,0.0
472707,9/11/2007,23:51:00,0.228,0.0,244.89,1.0,0.0
1728056,30/3/2010,18:20:00,0.504,0.196,240.73,2.2,2.0
1221013,12/4/2009,15:37:00,0.422,0.06,241.45,1.8,0.0
1533403,15/11/2009,14:07:00,0.226,0.0,244.5,0.8,1.0
1276838,21/5/2009,10:02:00,1.61,0.0,238.74,6.6,18.0
1433344,7/9/2009,02:28:00,0.206,0.102,239.16,0.8,3.0
1560234,4/12/2009,05:18:00,0.38,0.108,247.61,1.6,0.0
394017,16/9/2007,08:21:00,0.208,0.0,241.07,1.0,0.0
969101,19/10/2008,17:05:00,0.41,0.0,242.23,1.8,1.0
1367572,23/7/2009,10:16:00,1.234,0.0,238.69,5.0,18.0
1215009,8/4/2009,11:33:00,0.592,0.272,242.09,2.6,5.0
170044,13/4/2007,19:28:00,0.216,0.0,240.88,0.8,0.0
1934409,21/8/2010,01:33:00,0.218,0.0,241.18,1.0,0.0
1828415,8/6/2010,10:59:00,1.358,0.17,236.15,5.8,18.0
46842,18/1/2007,06:06:00,0.22,0.0,242.47,1.0,0.0
1709605,17/3/2010,22:49:00,0.816,0.0,242.23,3.4,0.0
775834,7/6/2008,11:58:00,1.532,0.076,238.18,6.4,19.0
282394,30/6/2007,19:58:00,3.102,0.26,239.41,13.6,48.0
341055,10/8/2007,13:39:00,1.236,0.134,234.28,5.2,18.0
1925796,15/8/2010,02:00:00,0.324,0.228,242.4,1.6,1.0
813462,3/7/2008,15:06:00,0.234,0.116,241.37,1.0,1.0
778478,9/6/2008,08:02:00,4.26,0.128,235.74,18.4,48.0
643194,7/3/2008,09:18:00,1.332,0.08,236.29,5.6,17.0
2054644,12/11/2010,13:28:00,0.712,0.056,239.54,3.0,0.0
1893683,23/7/2010,18:47:00,0.316,0.204,240.16,1.6,3.0
1579864,17/12/2009,20:28:00,2.102,0.0,247.22,8.6,18.0
1772426,30/4/2010,13:50:00,0.37,0.086,240.41,1.6,3.0
1168101,6/3/2009,21:45:00,1.014,0.126,244.03,4.2,1.0
1879313,13/7/2010,19:17:00,1.472,0.226,241.51,7.6,17.0
77689,8/2/2007,16:13:00,0.696,0.172,247.48,2.8,0.0
138434,22/3/2007,20:38:00,0.382,0.05,233.98,1.6,0.0
1927580,16/8/2010,07:44:00,1.418,0.0,237.42,6.0,18.0
140682,24/3/2007,10:06:00,1.996,0.136,238.9,8.4,19.0
1091780,12/1/2009,21:44:00,3.578,0.146,241.81,15.0,18.0
2021764,20/10/2010,17:28:00,0.282,0.0,244.13,1.2,1.0
602283,7/2/2008,23:27:00,1.11,0.216,244.64,4.6,1.0
243914,4/6/2007,02:38:00,0.284,0.054,235.54,1.2,0.0
2054851,12/11/2010,16:55:00,2.792,0.244,232.06,12.0,18.0
1800718,20/5/2010,05:22:00,1.088,0.394,242.37,4.8,12.0
18909,29/12/2006,20:33:00,3.836,0.324,231.68,16.6,43.0
1511595,31/10/2009,10:39:00,1.364,0.062,242.5,5.6,19.0
1669088,17/2/2010,19:32:00,1.104,0.07,241.01,4.6,1.0
55996,24/1/2007,14:40:00,1.546,0.172,245.63,6.2,19.0
124203,12/3/2007,23:27:00,0.246,0.0,247.06,1.0,0.0
1008504,16/11/2008,01:48:00,2.236,0.152,240.42,9.2,0.0
1380522,1/8/2009,10:06:00,0.214,0.122,240.94,1.0,3.0
1972707,16/9/2010,15:51:00,0.25,0.098,243.16,1.0,1.0
52054,21/1/2007,20:58:00,6.8,0.294,231.62,29.4,74.0
1079954,4/1/2009,16:38:00,1.974,0.16,243.97,8.2,1.0
1443610,14/9/2009,05:34:00,0.304,0.136,241.9,1.4,1.0
1808683,25/5/2010,18:07:00,0.506,0.0,241.89,2.2,2.0
849923,28/7/2008,22:47:00,0.514,0.226,242.44,2.4,2.0
1675864,22/2/2010,12:28:00,0.464,0.094,239.9,2.0,0.0
1032646,2/12/2008,20:10:00,0.998,0.074,241.79,4.6,0.0
1916224,8/8/2010,10:28:00,0.192,0.0,241.37,0.8,2.0
140815,24/3/2007,12:19:00,1.816,0.41,237.46,7.8,19.0
870994,12/8/2008,13:58:00,0.174,0.146,238.78,0.8,1.0
1685092,28/2/2010,22:16:00,0.414,0.188,237.89,1.8,1.0
720817,30/4/2008,07:01:00,0.34,0.116,242.22,1.4,0.0
1569245,10/12/2009,11:29:00,1.466,0.156,243.69,6.0,19.0
986090,31/10/2008,12:14:00,2.266,0.0,240.44,9.4,17.0
1378839,31/7/2009,06:03:00,0.322,0.09,242.73,1.6,1.0
384683,9/9/2007,20:47:00,3.466,0.114,234.4,14.8,21.0
12510,25/12/2006,09:54:00,1.234,0.226,241.74,5.2,0.0
319834,26/7/2007,19:58:00,1.708,0.054,235.97,7.4,22.0
680870,2/4/2008,13:14:00,1.482,0.302,235.54,6.4,19.0
704224,18/4/2008,18:28:00,0.274,0.0,242.83,1.2,0.0
295390,9/7/2007,20:34:00,0.484,0.0,241.93,2.8,0.0
28222,5/1/2007,07:46:00,2.424,0.174,240.58,10.0,0.0
2007149,10/10/2010,13:53:00,1.538,0.048,241.82,6.2,18.0
1761587,23/4/2010,01:11:00,0.236,0.0,240.36,1.0,1.0
21913,31/12/2006,22:37:00,2.602,0.182,240.08,10.8,0.0
738618,12/5/2008,15:42:00,1.428,0.186,241.34,6.0,18.0
1509504,29/10/2009,23:48:00,0.604,0.12,245.73,2.6,2.0
381156,7/9/2007,10:00:00,1.19,0.0,234.12,5.0,16.0
1386113,5/8/2009,07:17:00,0.206,0.104,240.07,1.0,1.0
500840,29/11/2007,12:44:00,1.528,0.304,240.66,6.4,19.0
960880,14/10/2008,00:04:00,0.246,0.0,241.13,1.0,1.0
756458,25/5/2008,01:02:00,0.848,0.104,240.03,3.4,3.0
295812,10/7/2007,03:36:00,0.138,0.0,240.94,0.6,0.0
1418788,27/8/2009,23:52:00,0.258,0.08,245.35,1.2,0.0
335240,6/8/2007,12:44:00,1.278,0.18,231.76,5.4,16.0
2019920,19/10/2010,10:44:00,0.486,0.086,242.55,2.2,1.0
819567,7/7/2008,20:51:00,0.75,0.392,240.42,3.4,1.0
618399,19/2/2008,04:03:00,0.264,0.0,244.11,1.0,0.0
901398,2/9/2008,16:42:00,0.34,0.198,240.97,1.8,1.0
1120414,1/2/2009,18:58:00,2.662,0.0,241.18,11.0,0.0
933928,25/9/2008,06:52:00,5.372,0.178,231.96,23.2,17.0
1432964,6/9/2009,20:08:00,3.544,0.48,238.81,15.2,28.0
1448234,17/9/2009,10:38:00,1.356,0.1,240.01,5.6,19.0
1402016,16/8/2009,08:20:00,1.092,0.266,240.11,5.4,3.0
1574519,14/12/2009,03:23:00,0.438,0.278,248.63,2.0,1.0
1852789,25/6/2010,09:13:00,1.294,0.096,237.63,5.4,18.0
1616329,12/1/2010,04:13:00,0.326,0.13,247.87,1.4,2.0
188484,26/4/2007,14:48:00,0.194,0.084,235.76,0.8,0.0
1530516,13/11/2009,14:00:00,2.102,0.318,240.89,8.8,0.0
1989007,27/9/2010,23:31:00,0.218,0.0,241.18,1.0,0.0
796226,21/6/2008,15:50:00,1.738,0.19,239.16,7.2,19.0
1423703,31/8/2009,09:47:00,1.302,0.082,237.56,5.4,19.0
334319,5/8/2007,21:23:00,0.198,0.126,236.46,1.0,0.0
2023058,21/10/2010,15:02:00,0.374,0.116,247.71,1.6,1.0
562741,11/1/2008,12:25:00,4.616,0.152,233.65,19.6,17.0
1158063,27/2/2009,22:27:00,1.8,0.174,239.7,7.4,17.0
1737899,6/4/2010,14:23:00,2.002,0.19,241.53,8.2,20.0
183958,23/4/2007,11:22:00,0.106,0.0,235.61,0.6,0.0
1215979,9/4/2009,03:43:00,0.992,0.26,242.87,4.2,11.0
344278,12/8/2007,19:22:00,0.104,0.0,235.61,0.4,0.0
391908,14/9/2007,21:12:00,4.752,0.166,233.58,20.2,38.0
263596,17/6/2007,18:40:00,2.158,0.048,238.78,9.0,20.0
606283,10/2/2008,18:07:00,1.544,0.0,239.32,6.4,18.0
1064673,25/12/2008,01:57:00,0.388,0.21,244.36,1.8,1.0
295816,10/7/2007,03:40:00,0.138,0.0,241.66,0.6,0.0
1494758,19/10/2009,18:02:00,0.8,0.096,244.71,3.2,0.0
1556846,1/12/2009,20:50:00,2.478,0.048,239.99,10.2,18.0
1296910,4/6/2009,08:34:00,1.328,0.092,238.53,5.4,20.0
2012458,14/10/2010,06:22:00,1.364,0.07,243.28,5.6,19.0
1246432,30/4/2009,07:16:00,1.772,0.048,242.61,7.2,19.0
453378,27/10/2007,13:42:00,4.184,0.178,238.95,17.4,56.0
1627165,19/1/2010,16:49:00,2.224,0.106,244.16,9.0,19.0
235826,29/5/2007,11:50:00,0.994,0.3,233.8,4.6,2.0
